Reason 1,Reason 2,Reason 3,Reason 4,Month Value,Day of the Week,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
0,0,0,1,7,1,289,36,33,239.55,30,0,2,1,4.0
0,0,0,0,7,1,118,13,50,239.55,31,0,1,0,0.0
0,0,0,1,7,2,179,51,38,239.55,31,0,0,0,2.0
1,0,0,0,7,3,279,5,39,239.55,24,0,2,0,4.0
0,0,0,1,7,3,289,36,33,239.55,30,0,2,1,2.0
0,0,0,1,10,2,179,51,38,239.55,31,0,0,0,2.0
0,0,0,1,7,4,361,52,28,239.55,27,0,1,4,8.0
0,0,0,1,7,4,260,50,36,239.55,23,0,4,0,4.0
0,0,1,0,6,6,155,12,34,239.55,25,0,2,0,4.0
0,0,0,1,7,0,235,11,37,239.55,29,1,1,1,8.0
1,0,0,0,7,0,260,50,36,239.55,23,0,4,0,8.0
1,0,0,0,7,1,260,50,36,239.55,23,0,4,0,8.0
1,0,0,0,7,2,260,50,36,239.55,23,0,4,0,8.0
1,0,0,0,7,2,179,51,38,239.55,31,0,0,0,1.0
0,0,0,1,7,2,179,51,38,239.55,31,0,0,0,4.0
1,0,0,0,7,4,246,25,41,239.55,23,0,0,0,8.0
0,0,0,1,7,4,179,51,38,239.55,31,0,0,0,2.0
0,0,1,0,7,0,179,51,38,239.55,31,0,0,0,8.0
1,0,0,0,7,3,189,29,33,239.55,25,0,2,2,8.0
0,0,0,1,5,4,248,25,47,205.92,32,0,2,1,2.0
1,0,0,0,12,1,330,16,28,205.92,25,1,0,0,8.0
1,0,0,0,3,6,179,51,38,205.92,31,0,0,0,1.0
1,0,0,0,10,3,361,52,28,205.92,27,0,1,4,4.0
0,0,0,1,8,4,260,50,36,205.92,23,0,4,0,4.0
0,0,1,0,8,0,289,36,33,205.92,30,0,2,1,8.0
0,0,0,1,8,0,361,52,28,205.92,27,0,1,4,7.0
0,0,0,1,4,2,289,36,33,205.92,30,0,2,1,1.0
0,0,0,1,12,1,157,27,29,205.92,22,0,0,0,4.0
0,0,1,0,8,2,289,36,33,205.92,30,0,2,1,8.0
0,0,0,1,8,4,179,51,38,205.92,31,0,0,0,2.0
0,0,1,0,8,0,179,51,38,205.92,31,0,0,0,8.0
0,0,1,0,8,3,235,29,48,205.92,33,0,1,5,8.0
0,0,0,1,8,3,235,11,37,205.92,29,1,1,1,4.0
0,0,1,0,8,0,235,29,48,205.92,33,0,1,5,8.0
0,0,0,1,8,0,179,51,38,205.92,31,0,0,0,2.0
0,0,0,1,8,0,361,52,28,205.92,27,0,1,4,1.0
0,0,0,1,4,2,289,36,33,205.92,30,0,2,1,8.0
1,0,0,0,8,3,291,50,32,205.92,23,0,0,0,4.0
0,0,0,1,8,4,235,29,48,205.92,33,0,1,5,8.0
0,0,0,1,8,4,260,50,36,205.92,23,0,4,0,4.0
0,0,0,1,1,4,184,42,27,241.48,21,0,0,0,2.0
0,0,0,1,7,3,118,10,37,241.48,28,0,0,0,4.0
0,0,0,1,1,4,179,51,38,241.48,31,0,0,0,4.0
0,0,1,0,8,6,235,20,43,241.48,38,0,1,0,8.0
0,0,0,1,9,2,155,12,34,241.48,25,0,2,0,2.0
0,0,0,1,9,6,118,10,37,241.48,28,0,0,0,3.0
0,0,0,1,9,0,179,51,38,241.48,31,0,0,0,3.0
0,0,0,1,9,3,291,31,40,241.48,25,0,1,1,4.0
0,0,0,1,4,3,260,50,36,241.48,23,0,4,0,8.0
1,0,0,0,9,0,291,31,40,241.48,25,0,1,1,3.2
0,0,0,0,9,0,260,50,36,241.48,23,0,4,0,0.0
0,0,0,0,9,0,225,26,28,241.48,24,0,1,2,0.0
0,0,0,1,8,6,225,26,28,241.48,24,0,1,2,2.0
0,0,0,1,9,1,118,10,37,241.48,28,0,0,0,2.0
0,0,0,0,9,1,289,36,33,241.48,30,0,2,1,0.0
0,0,0,0,9,1,118,13,50,241.48,31,0,1,0,0.0
0,0,1,0,9,2,225,26,28,241.48,24,0,1,2,3.0
0,0,0,1,9,2,179,51,38,241.48,31,0,0,0,3.0
0,0,0,0,9,2,369,17,31,241.48,25,0,3,0,0.0
0,0,0,1,11,0,248,25,47,241.48,32,0,2,1,1.0
